Spearman_ρ_YL_Active_Fe	p-value_YL_Active_Fe	adjust_p_value_YL_Active_Fe	Spearman_ρ_Available_Fe	p-value_Available_Fe	adjust_p_value_Available_Fe	lm.R2_YL_Active_Fe	lm.adj.R2_YL_Active_Fe	lm.p.value_YL_Active_Fe	intercept_YL_Active_Fe	slope_YL_Active_Fe	lm.R2_Available_Fe	lm.adj.R2_Available_Fe	lm.p.value_Available_Fe	intercept_Available_Fe	slope_Available_Fe
Aquicella	-0.251435678256209	0.235946392539296	0.598636786359691	-0.250632050866334	0.237497297514248	0.522494054531346	0.0514482613750092	0.00833227325569141	0.286492750876512	0.012248289949267	-0.000801441752055521	0.115184839412981	0.0749659684772074	0.104701439034724	0.0329814642333508	-0.00662204936476197
Aquipuribacter	0.186389115563784	0.383181534612631	0.730257818243525	0.330947011139414	0.114189427805525	0.414887857205456	0.0742487843230047	0.032169183610414	0.197682294522739	-0.00415069854399044	0.0021380454209137	0.147890687309142	0.109158445823194	0.0635254560502694	-0.0551693550207714	0.0166629084497059
Arcticibacter	0.0353644807152249	0.869690204896965	0.953314263060135	-0.244884284999119	0.248784810973793	0.528773140612096	0.000251412645468402	-0.0451917049615558	0.941379755028845	0.00238542372714395	-4.52882835482158e-05	0.0668346843528614	0.0244180790961732	0.22255526990847	0.0194043514917809	-0.00407756970316666
Arenimonas	-0.094844466024779	0.65933396087979	0.874000831863907	-0.135770234986945	0.527015804292186	0.754426733541553	0.000882292705884545	-0.044532148534757	0.890415736763037	0.602794191927954	-0.00182630604200926	0.00520879544048202	-0.0400089865849507	0.737525754579673	0.690325508244113	-0.0245043960793897
Aridibacter	-0.0720976660316786	0.737786767050338	0.898752843871705	0.208932640379965	0.327192015604572	0.589214889982598	0.0073517387391554	-0.037768636772701	0.690364201680101	0.0999909826026772	-0.00177881655552601	0.0491061969619861	0.00588375136934915	0.298030730402758	-0.0255210035394945	0.0253870607372818
Armatimonadales	-0.062336965988763	0.772301179034471	0.9087127673692	0.185957714557006	0.384303293841781	0.635773523057512	0.00144252298430018	-0.0439464532436862	0.860139798066837	0.0232990315590075	-0.00026566976774842	0.0650430235411159	0.0225449791566212	0.229081337243635	-0.0213764497177619	0.00985120296520106
Arthrobacter	0.0994776171594552	0.643742220522419	0.868013703801197	-0.0753320430669959	0.72645384883767	0.86871617028187	0.0372511842522519	-0.00651012555446395	0.366211561551602	0.160066071614354	0.0115485999861156	0.00481456629702834	-0.0404211352349249	0.747325498030352	0.367741595377737	-0.022926936255917
Asticcacaulis	0.145982615637226	0.496094138755416	0.805301179953681	0.146684165865391	0.494003548285076	0.739931329794667	0.0506557433937868	0.00750373172986796	0.290335318870133	-0.00322963028278227	0.000649600513039784	0.0398009472406233	-0.00384446424843921	0.349982692324603	-0.0106730339374436	0.00317970520478122
Azoarcus	0.0961078518044743	0.655068333482984	0.873889032114534	0.313179672950046	0.136187879070917	0.427057443164641	0.030565005308957	-0.013500221722454	0.413882514919981	0.188330686139418	0.0114036337456924	0.1079111495496	0.0673616563473088	0.117055651002342	-0.209804849659301	0.118323858452419
Azohydromonas	0.214876033057851	0.313301349501339	0.686852958522166	0.229279970619535	0.281161508741553	0.562022264296052	0.0491166351311307	0.00589466400072747	0.297978065974422	0.203056430467198	0.0168342021501425	0.0795425042172607	0.0377035271362272	0.181807965005375	-0.143455963084324	0.11830034347443
Azospirillum	0.156072589203204	0.466454071426909	0.800983008103616	0.0403639973226796	0.851455187886817	0.928456352704407	0.0301244479801548	-0.0139608043843835	0.417320680431691	0.00162853239081019	0.00140006986150682	0.00099974927869732	-0.0444093530268164	0.88339486062979	0.00888466939746843	0.00140845783159986
Azotobacter	-0.15728017705704	0.462969112348396	0.800983008103616	-0.0132941741776263	0.950838684724485	0.982167801189872	0.10624846201588	0.0656233921075113	0.120084554187321	0.160751291302481	-0.0103989929355939	0.095601950416691	0.0544929481629042	0.141511453346371	0.295184621302723	-0.054471768368457
B1-7BS	-0.254864234200168	0.229404630078853	0.592533318814708	-0.336858150761578	0.107482468048463	0.410923826014549	0.054330845076791	0.0113458834893724	0.273022471048879	0.00512282812149934	-0.000385362038754	0.147910096737545	0.109178737498342	0.063506614367962	0.0164916183762437	-0.00351117723795668
Babeliaceae	-0.031553425737779	0.883634396231571	0.955239252477922	0.146529919720561	0.494462819091115	0.739931329794667	0.00499918071174886	-0.0402281292558988	0.742683457685671	0.00635129729760908	-0.000205656455209457	0.0323464815000426	-0.0116377693408645	0.400381059360923	-0.00796144292587501	0.00288878082290579
Bacillus	0.344497607655502	0.0992499271144081	0.45496736974233	0.0739612808450111	0.731250215152673	0.870546430779029	0.235844875768315	0.201110551939602	0.0161383608776108	-1.49768618020892	0.322348522792612	0.026719135394458	-0.017520903905794	0.445348415252251	-1.00324507971573	0.59914481234704
bacteriap25	-0.374510656807307	0.0713809162419245	0.438782691016536	-0.422449433532387	0.0397342586607621	0.271548905067301	0.164713135446977	0.126745550694567	0.0490990378655386	0.669363068005932	-0.0280642363646686	0.146907198267384	0.108130252734083	0.0644874517045829	1.02939725366269	-0.1463587836027
Bacteriovorax	0.371666329177575	0.0737319114380668	0.444518350689114	0.508098904136752	0.0112465539525061	0.170752352721552	0.0820673276589656	0.0403431152798277	0.17473147235779	-0.00380933484687904	0.00223087785254501	0.196798235613385	0.160289064504903	0.0299009049640987	-0.0642774135778885	0.0190769695868425
Bacteroides	0.29833113218741	0.156780918697793	0.493978070469932	0.288872758415627	0.170989825907219	0.472689687425429	0.0907156791757409	0.0493845736837292	0.152654441422879	-0.0082173133943203	0.00114954139539658	0.0783167348627858	0.0364220409929125	0.185355402525288	-0.0225503835921104	0.00589819143601523
Bauldia	-0.149825911867801	0.484695338608646	0.800983008103616	-0.301023920628098	0.152892624387	0.439925195087764	0.0467431815006364	0.00341332611430167	0.310253033860891	0.139929901718471	-0.00449406817126998	0.172934005868402	0.135340097044238	0.043269957723209	0.301554658307374	-0.0477341137364347
BD1-7_clade	-0.0281925309807233	0.89595952507745	0.961582649808266	-0.210263954550408	0.324048694774136	0.589214889982598	0.00023244469551659	-0.0452115350910507	0.943630869585858	0.00247253859879996	-2.87138404406439e-05	0.035217831223576	-0.0086359037208068	0.379877035298009	0.0105519164969656	-0.00195173525826982
BD2-11_terrestrial_group	-0.178564861940616	0.403815323441129	0.740384029504408	-0.266595513259178	0.207934631270006	0.496329080433172	0.0185494078538734	-0.0260619826982234	0.525707996791362	0.0516471767014625	-0.00168190695724462	0.0182496060352037	-0.026375411872287	0.529104026194452	0.0751113925787308	-0.00921237970028274
BD7-11	-0.17846039939138	0.404094918742563	0.740384029504408	-0.210984074189945	0.322356094128422	0.589214889982598	0.00900157794140787	-0.0360438048794371	0.659225181746699	0.00477913368105588	-0.00024605554007632	0.0357708313393096	-0.00805776723617635	0.376093594427923	0.0140352755044822	-0.00270861003152492
Bdellovibrio	-0.152372717749713	0.477215208016406	0.800983008103616	-0.257783638703246	0.223929840151865	0.512423393340216	0.0482386270597511	0.00497674647155799	0.30244806706835	0.175374871665033	-0.00668409541664454	0.132423432247081	0.092988133712857	0.0804507625119953	0.373654220848682	-0.0611555297641435
Beijerinckiaceae	-0.0961188450208678	0.655031262243753	0.873889032114534	-0.0925118409996672	0.667236761944168	0.851256791666585	0.00136160181893859	-0.0440310526438368	0.864082728564153	0.00111748779300212	-4.04885273877985e-05	0.00157107664824106	-0.0438120562313844	0.854103139659593	0.00176106849096823	-0.000240167229185866
Berkelbacteria	-0.233341435607181	0.272490180161615	0.642298281809522	-0.327933590174268	0.117724066407656	0.414887857205456	0.0363471675675103	-0.00745523390669378	0.372204331265057	0.0413955491481619	-0.00158047375314453	0.0712331645897218	0.0290164902528911	0.207404182279502	0.078683800098505	-0.0122180320973636
BIrii41	-0.0418027680748175	0.846220721711175	0.944216414713962	-0.273083727298718	0.196662104804944	0.488420709016737	4.77347465133815e-05	-0.0454046409468267	0.974439688441684	0.241632440947183	-0.000269447908737261	0.0717235538986491	0.0295291699849513	0.205787727002859	0.485882074801745	-0.0576761879389383
BIyi10	-0.041747219369096	0.846422700686334	0.944216414713962	0.0863726241930261	0.688198932563562	0.854925502412308	0.000904884996649366	-0.0445085293216847	0.88902992075776	0.00584030166181293	0.000208948793319957	0.00858226600818136	-0.0364821764459922	0.666799898431645	-0.00738317468216043	0.00355346711289498
Blastocatella	-0.35691388488319	0.0868810761934535	0.45496736974233	-0.075063154940978	0.72739392248482	0.86871617028187	0.106087402347714	0.0654550115453377	0.120382225860106	0.0574380076259113	-0.00309098915556197	0.0186859268704119	-0.0259192582718419	0.524174080169207	0.0587664658311603	-0.00716359520591466
Blastococcus	-0.248420612862572	0.241799608344251	0.603717887177038	-0.395379851278232	0.0558362474372123	0.31826661039211	0.0694768723011084	0.0271803664966134	0.21331069696021	0.885017760627007	-0.0250543215241368	0.17491171143159	0.137407698314844	0.0419716031751751	1.5866905479918	-0.219523037076932
Blfdi19	-0.56869182401783	0.00373480717251145	0.116145920806219	-0.313153428911927	0.136222469908976	0.427057443164641	0.146542387185822	0.107748859330632	0.0648479440523754	0.173431510568368	-0.00812821953742884	0.0269769736917599	-0.0172513456858874	0.443130794233821	0.178724617284926	-0.019258326678383
Bosea	0.124864044720695	0.561015346661908	0.832232830513976	0.0587467362924282	0.785106435680846	0.903977425953921	0.03567570816469	-0.00815721419146032	0.376740760433658	0.22666453071764	0.0113827094750937	0.0439605513807133	0.000504212807109439	0.325454183394363	0.0360796748668219	0.0697748732998878
Bradyrhizobium	-0.128020977229129	0.551073069421763	0.829895646039831	-0.380444395208023	0.066660595830139	0.342007060088841	0.0122635494684793	-0.032633561919317	0.60645168735575	0.286241392433943	-0.00278122556818999	0.166194890075838	0.128294657806558	0.0479946098623733	0.501792631648292	-0.0565386056769353
Brevibacillus	-0.274118968230796	0.194902784334024	0.56315228468863	-0.138920211222937	0.517381592020057	0.752664172149828	0.0583614784645712	0.0155597274856881	0.255426604059587	0.0307918179595756	-0.00175110155926842	0.0226447340482664	-0.0217805053131761	0.482763697751822	0.0399532700063225	-0.006023375600461
Brevundimonas	-0.321794225075939	0.125171119996064	0.456437174352107	-0.46689913184087	0.0214400868761988	0.217219112869259	0.0459121649785214	0.0025445361139087	0.314698093473681	0.15457263391751	-0.00606321834148693	0.150954349727956	0.112361365624681	0.0606187586242492	0.356842067467311	-0.0607114042994334
Bryobacter	0.125679498513543	0.558439483561568	0.832232830513976	0.0434971767986174	0.840064305024484	0.919232668848781	0.0278810016919607	-0.0163062255038593	0.435483640229449	0.482341149134074	0.0114363418484978	0.00154375070432909	-0.043840624263656	0.855364375633878	0.527253435907731	0.0148603715319881
C0119	-0.209241996582583	0.326459968872808	0.69592904537719	0.19206489989106	0.368597416308227	0.621265000067899	0.00453978341548175	-0.0407084082474509	0.754419239577167	0.101469423822863	-0.00123898533158323	0.0596869848935681	0.0169454842069121	0.249933032288352	-0.0164441909607961	0.024808274535602
C1-B045	0.321523446308986	0.125507250504701	0.456437174352107	0.313269802156617	0.136069132666159	0.427057443164641	0.134731826266298	0.0954014547329481	0.0776649522875364	-0.00602522983816116	0.00081543092726912	0.102013914554729	0.0611963652163071	0.128170714037275	-0.0150555882350385	0.00391823002594191
Caenimonas	-0.156474462076044	0.465292812201639	0.800983008103616	-0.554636534928446	0.00491177653827572	0.139985631340858	0.0603548936265172	0.0176437524277225	0.247216972091008	0.294219040636256	-0.00892979588759946	0.323684087859393	0.292942455489365	0.00371694787204415	0.698164932890411	-0.114196844573575
Camelimonas	0.370317056867041	0.0748675261621869	0.44616094050005	0.457550003493228	0.0245682967141824	0.217219112869259	0.114354018314439	0.0740973827832777	0.106042195055864	-0.077737673080397	0.0105125965494291	0.193946079827406	0.157307265274106	0.0312589467256711	-0.301512704793992	0.0756019376380846
Candidatus_Alysiosphaera	-0.119434520619405	0.578300962838668	0.833781815208244	-0.0617066208473459	0.77454536052218	0.901001745913556	0.057839299594607	0.0150138132125437	0.257629360016966	0.0649771144061442	-0.00316419767992564	0.0157128226688773	-0.0290275035734464	0.55947714114001	0.0739282369352456	-0.00910725172753165
Candidatus_Berkiella	0.135581279727136	0.527596418160245	0.819646130024788	0.19588223252263	0.358972071835773	0.608312132543323	0.0161945461211388	-0.0285238836006276	0.553469194520364	-0.000717176428565112	0.000127122883250456	0.0330943100515287	-0.0108559485824928	0.394896872167592	-0.00380530880324035	0.00100351565246674
Candidatus_Chloroploca	-0.264853157644709	0.211034460846692	0.583539193373871	0.0198084476760159	0.926801769063522	0.979557790042253	0.025524749011712	-0.0187695805786647	0.455841829917992	0.180979728082319	-0.00614115083039878	0.00310236912944175	-0.0422111595464927	0.796019837970615	0.0721234135324951	0.0118228968365528
Candidatus_Chlorothrix	-0.0728183526286195	0.735256869276489	0.898647284671265	-0.136564115173613	0.524579720903603	0.753929460224418	0.000629694697741591	-0.044796228270543	0.907344337100156	0.000536549527844208	2.0743437319228e-05	0.00830755697202764	-0.0367693722565166	0.671880883581599	0.00251376160760214	-0.000416064354786777
Candidatus_Entotheonella	-0.243349893177141	0.251856039687369	0.611651732926154	-0.125094580011842	0.560286587702003	0.786608170450478	0.154177105310636	0.115730610097483	0.0577027339093886	0.0289206303315146	-0.00191459308557716	0.0406712121548216	-0.00293464183814107	0.344659317859586	0.0339927885405295	-0.00543023021034351
Candidatus_Jidaibacter	-0.0640833671221339	0.766092863163271	0.9087127673692	-0.0771852410800806	0.719985267534793	0.86871617028187	0.0193806925176616	-0.0251929123678991	0.5164856919419	0.0028671941425713	-0.000173379639197611	0.05628104727886	0.0133847312460809	0.264336258041486	0.00820396596805102	-0.00163155859451615
Candidatus_Jorgensenbacteria	0.155518056621227	0.468058911662894	0.800983008103616	-0.304398958403827	0.148116144592313	0.436103482690889	0.0410824286960946	-0.00250473363590098	0.342180376338547	-0.00139378372244589	0.000301500869698725	0.0725318883045054	0.0303742468638012	0.203153734086303	0.0109332692072549	-0.00221224461813456
Candidatus_Kaiserbacteria	0.00305612233150199	0.988692277392068	0.991856092679723	-0.408081092777562	0.0477480904274288	0.298958925388237	9.58836276858004e-05	-0.0453543034801467	0.963779756219877	0.0536916563761434	-0.000145299976862342	0.159050261846045	0.120825273748138	0.0535536807645085	0.192151976086958	-0.0326789919940711
